,NDC_code
503,4306396830
504,4306396855
505,4335365760
506,4335381960
507,4586563821
508,4586567040
509,4843332110
510,4999902821
511,4999902840
512,4999902860
513,5009000950
514,5009000951
515,5009000953
516,5009000954
517,5009000957
518,5009000964
519,5009000991
520,5009000992
521,5009000993
522,5009000995
523,5009000999
524,5009001000
525,5009001001
526,5009001002
527,5009001005
528,5009001006
529,5009001007
530,5009001010
531,5009001020
532,5009004390
533,5009010010
534,5009019891
535,5009019892
536,5009019893
537,5009019895
538,5009019899
539,5009019900
540,5009019901
541,5009019902
542,5009019905
543,5009019907
544,5009024034
545,5009027892
546,5009027893
547,5009027895
548,5009027899
549,5009032730
550,5009032731
551,5009032733
552,5009032734
553,5009032737
554,5009033104
555,5009033350
556,5009033361
557,5009033362
558,5009033363
559,5009033540
560,5009033541
561,5009033543
562,5009033544
563,5009033547
564,5009033614
565,5009033616
566,5043617205
567,5043617305
568,5043617501
569,5043617504
570,5043643241
571,5043643242
572,5043643243
573,5043643251
574,5043643252
575,5043643262
576,5165532018
577,5165532020
578,5165532021
579,5165532030
580,5165532053
581,5165532054
582,5165541020
583,5165541049
584,5295912600
585,5295912605
586,5295912607
587,5295912610
588,5295912612
589,5295912614
590,5295912615
591,5295912618
592,5295912620
593,5295912621
594,5295912625
595,5295912630
596,5295912637
597,5295912640
598,5295912642
599,5295912644
600,5295912645
601,5295912650
602,5295912660
603,5295912670
604,5295912707
605,5295912710
606,5295912711
607,5295912712
608,5295912715
609,5295912718
610,5295912720
611,5295912721
612,5295912725
613,5295912730
614,5295912737
615,5295912742
616,5295922000
617,5295922005
618,5295922006
619,5295922010
620,5295922012
621,5295922020
622,5295922021
623,5295922023
624,5295922030
625,5295922036
626,5295922040
627,5295922060
628,5295922075
629,5300206101
630,5300230901
631,5300230902
632,5300230903
633,5300230904
634,5300230905
635,5300230911
636,5300230912
637,5300230913
638,5300230914
639,5300230915
640,5300230916
641,5300230917
642,5300230919
643,5300232501
644,5300232502
645,5300232503
646,5300232504
647,5300232505
648,5300232506
649,5300235201
650,5300235202
651,5300235203
652,5321725510
653,5321725512
654,5321725514
655,5321725520
656,5321725521
657,5321725524
658,5321725527
659,5321725530
660,5321725540
661,5321725542
662,5321725548
663,5321725550
664,5321725560
665,5321725590
666,5321728807
667,5321728810
668,5321728812
669,5321728814
670,5321728815
671,5321728818
672,5321728820
673,5321728821
674,5321728830
675,5321728860
676,5321729200
677,5321729212
678,5321729215
679,5321729221
680,5321729230
681,5321729240
682,5321729250
683,5321729260
684,5321729290
685,5321733621
686,5380803991
687,5380805401
688,5380805421
689,5380805431
690,5380805601
691,5434850610
692,5434850620
693,5456903300
694,5456903301
695,5456903303
696,5456903304
697,5456903307
698,5456903310
699,5456903311
700,5456903312
701,5456903314
702,5456903315
703,5456903317
704,5456903318
705,5456903321
706,5456903322
707,5456903323
708,5456903325
709,5456903329
710,5456903330
711,5456930430
712,5456930431
713,5456930432
714,5456930435
715,5456930436
716,5456930437
717,5456933020
718,5456933021
719,5456934130
720,5456940264
721,5456958400
722,5486802580
723,5486802581
724,5486802582
725,5486802583
726,5486802584
727,5486802585
728,5486802586
729,5486802587
730,5486802588
731,5486808360
732,5486808361
733,5486808362
734,5486808363
735,5486808364
736,5486808365
737,5486808366
738,5486808367
739,5486808368
740,5486808369
741,5486809080
742,5486809081
743,5486809083
744,5486809085
745,5486809086
746,5486811191
747,5486811193
748,5486811195
749,5486811830
750,5486811831
751,5486811832
752,5486811833
753,5486811834
754,5486811836
755,5486811837
756,5486811838
757,5486811839
758,5486840950
759,5486840960
760,5486852130
761,5486852300
762,5515449380
763,5515449460
764,5515449490
765,5515449500
766,5515481300
767,5528933005
768,5528933007
769,5528933010
770,5569501300
771,5569501400
772,5569501500
773,5569502400
774,5570020310
775,5570020315
776,5570020318
777,5570020320
778,5570020321
779,5570020330
780,5570020815
781,5570020820
782,5570020821
783,5570020830
784,5570020840
785,5570020860
786,5570020915
787,5570020921
788,5570020930
789,5570020942
790,5570020948
791,5570072820
792,5570072821
793,5570073321
794,5811854428
795,5974617106
796,5974617110
797,5974617206
798,5974617210
799,5974617306
800,5974617309
801,5974617310
802,5974617506
803,5974617509
804,5974617510
805,6068712201
806,6068713401
807,6068714501
808,6076000221
809,6076000230
810,6076017935
811,6076025521
812,6076025540
813,6076025560
814,6076063030
815,6076063060
816,6191910810
817,6191910812
818,6191910814
819,6191910830
820,6191922607
821,6191923510
822,6191923521
823,6191923530
824,6191923540
825,6191923542
826,6191932121
827,6191932130
828,6191932142
829,6191932610
830,6191932615
831,6191932620
832,6191932621
833,6191932623
834,6191934205
835,6191934210
836,6191934212
837,6191934214
838,6191934220
839,6191934221
840,6191934230
841,6191936521
842,6191937330
843,6191940421
844,6191940430
845,6191999507
846,6318702010
847,6318702015
848,6318702021
849,6318702030
850,6318702036
851,6318703705
852,6318703708
853,6318703709
854,6318703710
855,6318703720
856,6318703721
857,6318703730
858,6318703740
859,6318703742
860,6318706605
861,6318706606
862,6318706608
863,6318706609
864,6318706612
865,6318706615
866,6318706620
867,6318706621
868,6318706624
869,6318706630
870,6318706640
871,6318706642
872,6318708505
873,6318708506
874,6318708509
875,6318708510
876,6318708515
877,6318708520
878,6318708521
879,6318708524
880,6318708530
881,6318724305
882,6318724308
883,6318724310
884,6318724315
885,6318724320
886,6318724321
887,6318724330
888,6318724340
889,6318730005
890,6318730006
891,6318730008
892,6318730009
893,6318730010
894,6318730012
895,6318730015
896,6318730018
897,6318730020
898,6318730021
899,6318730024
900,6318730027
901,6318730028
902,6318730030
903,6318730036
904,6318730040
905,6318730042
906,6318780705
907,6318780706
908,6318780707
909,6318780708
910,6318780709
911,6318780710
912,6318780712
913,6318780714
914,6318780715
915,6318780718
916,6318780720
917,6318780721
918,6318780724
919,6318780730
920,6318780740
921,6318780742
922,6318799705
923,6318799706
924,6318799707
925,6318799708
926,6318799710
927,6318799712
928,6318799715
929,6318799718
930,6318799720
931,6318799721
932,6318799724
933,6318799727
934,6318799730
935,6318799736
936,6318799740
937,6318799742
938,6362915790
939,6362915791
940,6362915792
941,6362915793
942,6362915794
943,6362915795
944,6362915796
945,6362915797
946,6362915798
947,6362915799
948,6362915870
949,6362915871
950,6362915872
951,6362915873
952,6362915874
953,6362915875
954,6362915876
955,6362915877
956,6362915878
957,6362915879
958,6362916050
959,6362916052
960,6362916053
961,6362916054
962,6362916055
963,6362916056
964,6362916057
965,6362916058
966,6362916059
967,6362973881
968,6362977521
969,6362977522
970,6362977531
971,6362979171
972,6362979172
973,6362979173
974,6362979174
975,6362979371
976,6362979372
977,6362979373
978,6362979374
979,6362979531
980,6362980151
981,6362981191
982,6362981192
983,6362981193
984,6373951810
985,6373951910
986,6373952010
987,6373958810
988,6472514731
989,6611648521
990,6626717115
991,6626717120
