Emma,F,18809,2008
Isabella,F,18612,2008
Emily,F,17429,2008
Olivia,F,17078,2008
Ava,F,17035,2008
Madison,F,17027,2008
Sophia,F,16081,2008
Abigail,F,15081,2008
Elizabeth,F,12002,2008
Chloe,F,11824,2008
Samantha,F,11178,2008
Addison,F,10759,2008
Natalie,F,10199,2008
Mia,F,10168,2008
Alexis,F,9721,2008
Alyssa,F,9635,2008
Hannah,F,9560,2008
Ashley,F,9403,2008
Ella,F,9349,2008
Sarah,F,9042,2008
Grace,F,9035,2008
Taylor,F,8335,2008
Brianna,F,8258,2008
Lily,F,8119,2008
Hailey,F,7866,2008
Anna,F,7265,2008
Victoria,F,7118,2008
Kayla,F,6833,2008
Lillian,F,6808,2008
Lauren,F,6449,2008
Kaylee,F,6293,2008
Allison,F,6239,2008
Savannah,F,6122,2008
Nevaeh,F,6101,2008
Gabriella,F,6025,2008
Sofia,F,5982,2008
Makayla,F,5949,2008
Avery,F,5829,2008
Riley,F,5768,2008
Leah,F,5627,2008
Julia,F,5616,2008
Aubrey,F,5563,2008
Jasmine,F,5523,2008
Audrey,F,5438,2008
Katherine,F,5346,2008
Morgan,F,5334,2008
Brooklyn,F,5310,2008
Destiny,F,5308,2008
Sydney,F,5260,2008
Alexa,F,5224,2008
Kylie,F,5192,2008
Brooke,F,5180,2008
Kaitlyn,F,5115,2008
Evelyn,F,5098,2008
Layla,F,4930,2008
Madeline,F,4817,2008
Kimberly,F,4810,2008
Zoe,F,4781,2008
Jessica,F,4735,2008
Peyton,F,4731,2008
Alexandra,F,4610,2008
Claire,F,4598,2008
Maria,F,4584,2008
Madelyn,F,4563,2008
Mackenzie,F,4472,2008
Arianna,F,4421,2008
Jocelyn,F,4370,2008
Amelia,F,4346,2008
Angelina,F,4297,2008
Trinity,F,4272,2008
Maya,F,4265,2008
Andrea,F,4259,2008
Valeria,F,4205,2008
Rachel,F,4078,2008
Sophie,F,4063,2008
Aaliyah,F,4039,2008
Mariah,F,4034,2008
Vanessa,F,4030,2008
Gabrielle,F,4024,2008
Katelyn,F,3974,2008
Ariana,F,3910,2008
Bailey,F,3899,2008
Camila,F,3847,2008
Jennifer,F,3791,2008
Melanie,F,3712,2008
Charlotte,F,3669,2008
Gianna,F,3666,2008
Autumn,F,3660,2008
Paige,F,3643,2008
Faith,F,3626,2008
Payton,F,3608,2008
Sara,F,3589,2008
Isabelle,F,3568,2008
Caroline,F,3540,2008
Genesis,F,3520,2008
Mary,F,3497,2008
Isabel,F,3487,2008
Zoey,F,3446,2008
Gracie,F,3424,2008
Megan,F,3411,2008
Isabella,F,22298,2009
Emma,F,17892,2009
Olivia,F,17433,2009
Sophia,F,16941,2009
Ava,F,15867,2009
Emily,F,15345,2009
Madison,F,15235,2009
Abigail,F,14387,2009
Chloe,F,11906,2009
Mia,F,11423,2009
Elizabeth,F,11029,2009
Addison,F,10659,2009
Alexis,F,9928,2009
Samantha,F,9658,2009
Ella,F,9650,2009
Natalie,F,9406,2009
