"108年05月03日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"化學生技醫療類報酬指數","137.90","+","0.80","0.58",
"化學類報酬指數","157.66","+","0.57","0.36",
"生技醫療類報酬指數","79.76","+","0.68","0.86",
"玻璃陶瓷類報酬指數","37.30","+","0.10","0.27",
"造紙類報酬指數","265.82","-","0.02","-0.01",
"鋼鐵類報酬指數","155.23","+","0.69","0.45",
"橡膠類報酬指數","368.27","+","1.31","0.36",
"汽車類報酬指數","398.32","-","0.33","-0.08",
"電子工業類報酬指數","746.69","+","11.56","1.57",
"半導體類報酬指數","279.40","+","6.39","2.34",
"電腦及週邊設備類報酬指數","168.88","+","1.16","0.69",
"光電類報酬指數","54.47","+","0.58","1.08",
"通信網路類報酬指數","232.82","+","0.44","0.19",
"電子零組件類報酬指數","167.48","+","0.99","0.59",
"電子通路類報酬指數","222.41","+","1.21","0.55",
"資訊服務類報酬指數","201.27","+","2.81","1.42",
"其他電子類報酬指數","116.11","+","1.64","1.43",
"建材營造類報酬指數","463.46","+","0.61","0.13",
"航運類報酬指數","88.34","+","0.20","0.23",
"觀光類報酬指數","128.75","-","0.56","-0.43",
"金融保險類報酬指數","1,893.63","-","0.13","-0.01",
"貿易百貨類報酬指數","332.50","+","0.07","0.02",
"油電燃氣類報酬指數","204.25","+","0.83","0.41",
"其他類報酬指數","417.17","-","0.90","-0.22",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","106,035,087,640","1,896,579,759","771,340",
"2.台灣存託憑證","8,687,471","1,531,751","267",
"3.受益憑證","0","0","0",
"4.ETF","7,740,435,242","340,397,383","45,102",
"5.受益證券","9,922,740","669,000","141",
"6.變更交易股票","35,336,976","13,973,997","1,872",
"7.認購(售)權證","2,193,039,620","1,618,542,000","62,959",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","49,494,210","4,040,000","1,254",
"證券合計(1+6)","106,070,424,616","1,910,553,756","773,212",
"總計(1~13)","116,072,003,899","3,875,733,890","882,935",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","3,778(8)","497(6)",
"下跌(跌停)","2,985(17)","303(0)",
"持平","517","119",
"未成交","5,230","6",
"無比價","1,315","5",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

